Country,ID,Winner,Sport,Event,Medal,Winner_info
United States of America,USA,United States,3x3-basketball,Women,1,3x3-basketball/athlete-profile-nbk3wteam3-usa01-united-states.htm
United States of America,USA,LEE SLEE Sunisa,artistic-gymnastics,Women's All-Around,1,artistic-gymnastics/athlete-profile-n1348724-lee-sunisa.htm
United States of America,USA,CAREY JCAREY Jade,artistic-gymnastics,Women's Floor Exercise,1,artistic-gymnastics/athlete-profile-n1348673-carey-jade.htm
United States of America,USA,United States,artistic-gymnastics,Women's Team,2,artistic-gymnastics/athlete-profile-ngarwteam-usa01-united-states.htm
United States of America,USA,SKINNER MSKINNER Mykayla,artistic-gymnastics,Women's Vault,2,artistic-gymnastics/athlete-profile-n1348702-skinner-mykayla.htm
United States of America,USA,BILES SBILES Simone,artistic-gymnastics,Women's Balance Beam,3,artistic-gymnastics/athlete-profile-n1348720-biles-simone.htm
United States of America,USA,LEE SLEE Sunisa,artistic-gymnastics,Women's Uneven Bars,3,artistic-gymnastics/athlete-profile-n1348724-lee-sunisa.htm
United States of America,USA,United States of America,athletics,Men's 4 x 400m Relay,1,athletics/athlete-profile-nathm4x400m-usa01-united-states-of-america.htm
United States of America,USA,CROUSER RCROUSER Ryan,athletics,Men's Shot Put,1,athletics/athlete-profile-n1458864-crouser-ryan.htm
United States of America,USA,United States of America,athletics,Women's 4 x 400m Relay,1,athletics/athlete-profile-nathw4x400m-usa01-united-states-of-america.htm
United States of America,USA,McLAUGHLIN SMcLAUGHLIN Sydney,athletics,Women's 400m Hurdles,1,athletics/athlete-profile-n1458998-mclaughlin-sydney.htm
United States of America,USA,MU AMU Athing,athletics,Women's 800m,1,athletics/athlete-profile-n1363228-mu-athing.htm
United States of America,USA,ALLMAN VALLMAN Valarie,athletics,Women's Discus Throw,1,athletics/athlete-profile-n1459019-allman-valarie.htm
United States of America,USA,NAGEOTTE KNAGEOTTE Katie,athletics,Women's Pole Vault,1,athletics/athlete-profile-n1458399-nageotte-katie.htm
United States of America,USA,KERLEY FKERLEY Fred,athletics,Men's 100m,2,athletics/athlete-profile-n1453349-kerley-fred.htm
United States of America,USA,HOLLOWAY GHOLLOWAY Grant,athletics,Men's 110m Hurdles,2,athletics/athlete-profile-n1457989-holloway-grant.htm
United States of America,USA,BEDNAREK KBEDNAREK Kenneth,athletics,Men's 200m,2,athletics/athlete-profile-n1458427-bednarek-kenneth.htm
United States of America,USA,BENJAMIN RBENJAMIN Rai,athletics,Men's 400m Hurdles,2,athletics/athlete-profile-n1458826-benjamin-rai.htm
United States of America,USA,NILSEN CNILSEN Christopher,athletics,Men's Pole Vault,2,athletics/athlete-profile-n1453116-nilsen-christopher.htm
United States of America,USA,KOVACS JKOVACS Joe,athletics,Men's Shot Put,2,athletics/athlete-profile-n1458206-kovacs-joe.htm
United States of America,USA,HARRISON KHARRISON Kendra,athletics,Women's 100m Hurdles,2,athletics/athlete-profile-n1469657-harrison-kendra.htm
United States of America,USA,FRERICHS CFRERICHS Courtney,athletics,Women's 3000m Steeplechase,2,athletics/athlete-profile-n1453148-frerichs-courtney.htm
United States of America,USA,United States of America,athletics,Women's 4 x 100m Relay,2,athletics/athlete-profile-nathw4x100m-usa01-united-states-of-america.htm
United States of America,USA,MUHAMMAD DMUHAMMAD Dalilah,athletics,Women's 400m Hurdles,2,athletics/athlete-profile-n1453236-muhammad-dalilah.htm
United States of America,USA,REESE BREESE Brittney,athletics,Women's Long Jump,2,athletics/athlete-profile-n1453050-reese-brittney.htm
United States of America,USA,SAUNDERS RSAUNDERS Raven,athletics,Women's Shot Put,2,athletics/athlete-profile-n1458831-saunders-raven.htm
United States of America,USA,LYLES NLYLES Noah,athletics,Men's 200m,3,athletics/athlete-profile-n1458743-lyles-noah.htm
United States of America,USA,CHELIMO PCHELIMO Paul,athletics,Men's 5000m,3,athletics/athlete-profile-n1458765-chelimo-paul.htm
United States of America,USA,THOMAS GTHOMAS Gabrielle,athletics,Women's 200m,3,athletics/athlete-profile-n1457974-thomas-gabrielle.htm
United States of America,USA,FELIX AFELIX Allyson,athletics,Women's 400m,3,athletics/athlete-profile-n1363172-felix-allyson.htm
United States of America,USA,ROGERS RROGERS Raevyn,athletics,Women's 800m,3,athletics/athlete-profile-n1458825-rogers-raevyn.htm
United States of America,USA,SEIDEL MSEIDEL Molly,athletics,Women's Marathon,3,athletics/athlete-profile-n1460816-seidel-molly.htm
United States of America,USA,United States of America,athletics,4 x 400m Relay Mixed,3,athletics/athlete-profile-nathx4x400m-usa01-united-states-of-america.htm
United States of America,USA,United States,baseball-softball,Baseball,2,baseball-softball/athlete-profile-nbsbmbblteam9usa01-united-states.htm
United States of America,USA,United States,baseball-softball,Softball,2,baseball-softball/athlete-profile-nbsbwsblteam9usa01-united-states.htm
United States of America,USA,United States,basketball,Men,1,basketball/athlete-profile-nbkbmteam5-usa01-united-states.htm
United States of America,USA,United States,basketball,Women,1,basketball/athlete-profile-nbkbwteam5-usa01-united-states.htm
United States of America,USA,April/Alix,beach-volleyball,Women,1,beach-volleyball/athlete-profile-nvbvwteam2-usa01-april-alix.htm
United States of America,USA,RAGAN DRAGAN Duke,boxing,Men's Feather (52-57kg),2,boxing/athlete-profile-n1460085-ragan-duke.htm
United States of America,USA,DAVIS KDAVIS Keyshawn,boxing,Men's Light (57-63kg),2,boxing/athlete-profile-n1309312-davis-keyshawn.htm
United States of America,USA,TORREZ JR RTORREZ JR Richard,boxing,Men's Super Heavy (+91kg),2,boxing/athlete-profile-n1309326-torrez-jr-richard.htm
United States of America,USA,JONES OJONES Oshae,boxing,Women's Welter (64-69kg),3,boxing/athlete-profile-n1309322-jones-oshae.htm
United States of America,USA,HARRISON NHARRISON Nevin,canoe-sprint,Women's Canoe Single 200m,1,canoe-sprint/athlete-profile-n1335386-harrison-nevin.htm
United States of America,USA,ROBERTS HROBERTS Hannah,cycling-bmx-freestyle,Women's Park,2,cycling-bmx-freestyle/athlete-profile-n1342555-roberts-hannah.htm
United States of America,USA,VALENTE JVALENTE Jennifer,cycling-track,Women's Omnium,1,cycling-track/athlete-profile-n1342568-valente-jennifer.htm
United States of America,USA,United States,cycling-track,Women's Team Pursuit,3,cycling-track/athlete-profile-nctrwpurteam4usa01-united-states.htm
United States of America,USA,United States,diving,Men's Synchronised 3m Springboard,2,diving/athlete-profile-ndivm3mteam2-usa01-united-states.htm
United States of America,USA,United States,diving,Women's Synchronised 10m Platform,2,diving/athlete-profile-ndivw10mteam2usa01-united-states.htm
United States of America,USA,PALMER KPALMER Krysta,diving,Women's 3m Springboard,3,diving/athlete-profile-n1331912-palmer-krysta.htm
United States of America,USA,United States,equestrian,Dressage Team,2,equestrian/athlete-profile-nequodresteamusa01-united-states.htm
United States of America,USA,United States,equestrian,Jumping Team,2,equestrian/athlete-profile-nequojumpteamusa01-united-states.htm
United States of America,USA,KIEFER LKIEFER Lee,fencing,Women's Foil Individual,1,fencing/athlete-profile-n1310067-kiefer-lee.htm
United States of America,USA,United States,fencing,Men's Foil Team,3,fencing/athlete-profile-nfenmteamfoilusa01-united-states.htm
United States of America,USA,United States,football,Women,3,football/athlete-profile-nfblwteam11-usa01-united-states.htm
United States of America,USA,SCHAUFFELE XSCHAUFFELE Xander,golf,Men's Individual Stroke Play,1,golf/athlete-profile-n1326353-schauffele-xander.htm
United States of America,USA,KORDA NKORDA Nelly,golf,Women's Individual Stroke Play,1,golf/athlete-profile-n1326376-korda-nelly.htm
United States of America,USA,TORRES GUTIERREZ ATORRES GUTIERREZ Ariel,karate,Men's Kata,3,karate/athlete-profile-n1320161-torres-gutierrez-ariel.htm
United States of America,USA,SHANER WSHANER William,shooting,10m Air Rifle Men,1,shooting/athlete-profile-n1335416-shaner-william.htm
United States of America,USA,HANCOCK VHANCOCK Vincent,shooting,Skeet Men,1,shooting/athlete-profile-n1335413-hancock-vincent.htm
United States of America,USA,ENGLISH AENGLISH Amber,shooting,Skeet Women,1,shooting/athlete-profile-n1335325-english-amber.htm
United States of America,USA,BROWNING KBROWNING Kayle,shooting,Trap Women,2,shooting/athlete-profile-n1335367-browning-kayle.htm
United States of America,USA,United States of America 1,shooting,10m Air Rifle Mixed Team,2,shooting/athlete-profile-nshoxarmix-usa01-united-states-of-america-1.htm
United States of America,USA,United States of America 2,shooting,Trap Mixed Team,3,shooting/athlete-profile-nshoxtrmix-usa02-united-states-of-america-2.htm
United States of America,USA,JUNEAU CJUNEAU Cory,skateboarding,Men's Park,3,skateboarding/athlete-profile-n1342535-juneau-cory.htm
United States of America,USA,EATON JEATON Jagger,skateboarding,Men's Street,3,skateboarding/athlete-profile-n1342562-eaton-jagger.htm
United States of America,USA,COLEMAN NCOLEMAN Nathaniel,sport-climbing,Men's Combined,2,sport-climbing/athlete-profile-n1317876-coleman-nathaniel.htm
United States of America,USA,MOORE CMOORE Carissa,surfing,Women,1,surfing/athlete-profile-n1312770-moore-carissa.htm
United States of America,USA,DRESSEL CDRESSEL Caeleb,swimming,Men's 100m Butterfly,1,swimming/athlete-profile-n1302244-dressel-caeleb.htm
United States of America,USA,DRESSEL CDRESSEL Caeleb,swimming,Men's 100m Freestyle,1,swimming/athlete-profile-n1302244-dressel-caeleb.htm
United States of America,USA,FINKE RFINKE Robert,swimming,Men's 1500m Freestyle,1,swimming/athlete-profile-n1302442-finke-robert.htm
United States of America,USA,United States,swimming,Men's 4 x 100m Freestyle Relay,1,swimming/athlete-profile-nswmm4x100mfrusa01-united-states.htm
United States of America,USA,United States,swimming,Men's 4 x 100m Medley Relay,1,swimming/athlete-profile-nswmm4x100mmdusa01-united-states.htm
United States of America,USA,KALISZ CKALISZ Chase,swimming,Men's 400m Individual Medley,1,swimming/athlete-profile-n1302246-kalisz-chase.htm
United States of America,USA,DRESSEL CDRESSEL Caeleb,swimming,Men's 50m Freestyle,1,swimming/athlete-profile-n1302244-dressel-caeleb.htm
