Continent_Name,Continent_Code,Country
Asia,AS,Afghanistan
Europe,EU,Albania
Antarctica,AN,Antarctica
Africa,AF,Algeria
Oceania,OC,American Samoa
Europe,EU,Andorra
Africa,AF,Angola
North America,NA,Antigua and Barbuda
Europe,EU,Azerbaijan
Asia,AS,Azerbaijan
South America,SA,Argentina
Oceania,OC,Australia
Europe,EU,Austria
North America,NA,Bahamas
Asia,AS,Bahrain
Asia,AS,Bangladesh
Europe,EU,Armenia
Asia,AS,Armenia
North America,NA,Barbados
Europe,EU,Belgium
North America,NA,Bermuda
Asia,AS,Bhutan
South America,SA,Bolivia
Europe,EU,Bosnia and Herzegovina
Africa,AF,Botswana
Antarctica,AN,Bouvet Island (Bouvetoya)
South America,SA,Brazil
North America,NA,Belize
Asia,AS,British Indian Ocean Territory (Chagos Archipelago)
Oceania,OC,Solomon Islands
North America,NA,British Virgin Islands
Asia,AS,Brunei Darussalam
Europe,EU,Bulgaria
Asia,AS,Myanmar
Africa,AF,Burundi
Europe,EU,Belarus
Asia,AS,Cambodia
Africa,AF,Cameroon
North America,NA,Canada
Africa,AF,Cape Verde
North America,NA,Cayman Islands
Africa,AF,Central African Republic
Asia,AS,Sri Lanka
Africa,AF,Chad
South America,SA,Chile
Asia,AS,People's Republic of China
Asia,AS,Chinese Taipei
Asia,AS,Christmas Island
Asia,AS,Cocos (Keeling) Islands
South America,SA,Colombia
Africa,AF,Comoros
Africa,AF,Mayotte
Africa,AF,Congo
Africa,AF,Congo
Oceania,OC,Cook Islands
North America,NA,Costa Rica
Europe,EU,Croatia
North America,NA,Cuba
Europe,EU,Cyprus
Asia,AS,Cyprus
Europe,EU,Czech Republic
Africa,AF,Benin
Europe,EU,Denmark
North America,NA,Dominica
North America,NA,Dominican Republic
South America,SA,Ecuador
North America,NA,El Salvador
Africa,AF,Equatorial Guinea
Africa,AF,Ethiopia
Africa,AF,Eritrea
Europe,EU,Estonia
Europe,EU,Faroe Islands
South America,SA,Falkland Islands (Malvinas)
Antarctica,AN,South Georgia and the South Sandwich Islands
Oceania,OC,Fiji
Europe,EU,Finland
Europe,EU,Åland Islands
Europe,EU,France
South America,SA,French Guiana
Oceania,OC,French Polynesia
Antarctica,AN,French Southern Territories
Africa,AF,Djibouti
